description,hs_code
"Plastic artificial fruit processing drying machines",84
"Plastic artificial foliage processing drying machines",84
"Plastic artificial plant processing drying machines",84
"Plastic artificial tree processing drying machines",84
"Plastic artificial grass processing drying machines",84
"Plastic artificial turf processing drying machines",84
"Plastic artificial snow processing drying machines",84
"Plastic artificial ice processing drying machines",84
"Plastic artificial stone processing drying machines",84
"Plastic artificial wood processing drying machines",84
"Plastic artificial metal processing drying machines",84
"Plastic artificial ceramic processing drying machines",84
"Plastic artificial glass processing drying machines",84
"Plastic artificial paper processing drying machines",84
"Plastic artificial textile processing drying machines",84
"Plastic artificial leather processing drying machines",84
"Plastic artificial fur processing drying machines",84
"Plastic artificial feather processing drying machines",84
"Plastic artificial hair processing drying machines",84
"Plastic artificial fiber processing drying machines",84
"Plastic artificial yarn processing drying machines",84
"Plastic artificial fabric processing drying machines",84
"Plastic artificial garment processing drying machines",84
"Plastic artificial footwear processing drying machines",84
"Plastic artificial headgear processing drying machines",84
"Plastic artificial umbrella processing drying machines",84
"Plastic artificial walking stick processing drying machines",84
"Plastic artificial whip processing drying machines",84
"Plastic artificial riding crop processing drying machines",84
"wooden kitchenware",44
"wooden spoon",44
"wooden spatula",44
"wooden salad bowl",44
"wooden kitchen utensil",44
"wooden cutting board",44
"wooden ladle",44
"wooden rolling pin",44
